run_id,scenario,arm,rep,rule_id,severity,passed
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,FL1,critical,1
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,FL2,major,0
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,FL3,major,1
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,AC1,major,0
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,AC_IMPL,critical,0
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,AC2,critical,1
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,AC3,major,0
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,SC1,critical,1
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,SC2,critical,1
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,IM1,critical,1
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,TR1,major,1
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,SC_COMMIT,critical,1
S11-week-boundary__A0__r0,S11-week-boundary,A0,0,SC_PUSH,critical,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,AC1,critical,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,AC2,critical,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,AC3,critical,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,AC4,major,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,AC_IMPL,critical,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,AC5,critical,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,AC6,major,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,SC1,critical,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,IM1,critical,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,TR1,major,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,FL1,major,0
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,SC_COMMIT,critical,1
S06-per-booking-quota__A0__r0,S06-per-booking-quota,A0,0,SC_PUSH,critical,1
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,AC1,major,0
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,AC2,critical,1
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,AC_IMPL,critical,0
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,AC3,critical,1
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,IM1,critical,1
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,IM2,critical,0
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,IM3,major,0
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,IM4,major,0
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,SC1,critical,1
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,SC2,critical,1
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,TR1,major,1
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,FL1,major,1
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,SC_COMMIT,critical,1
S08-rounding-change__A5__r0,S08-rounding-change,A5,0,SC_PUSH,critical,1
S05-cancel-basic__A5__r0,S05-cancel-basic,A5,0,GP1,critical,0
S05-cancel-basic__A5__r0,S05-cancel-basic,A5,0,GP2,critical,1
